Favorite,Course,Enrolled as,Nickname,Published,Term
Click to add CDA3103.001U24.52321 Computer Organization to the courses menu.,https://usflearn.instructure.com/courses/1864862,TA,,YesThis course has been published.,Summer 24
Click to remove Bellini College: Graduate from the courses menu.,https://usflearn.instructure.com/courses/2040878,Student,,YesThis course has been published.,Default Term
Click to add CSE PhD Comprehensive Exam to the courses menu.,https://usflearn.instructure.com/courses/1306800,Student,,YesThis course has been published.,Default Term
Click to add EEL6764.901F19.80815 Princ of Computer Architecture to the courses menu.,https://usflearn.instructure.com/courses/1356220,Student,,YesThis course has been published.,Fall 19
Click to remove Getting Ready for Commencement from the courses menu.,https://usflearn.instructure.com/courses/1275282,Student,,YesThis course has been published.,Orgs
Click to add dev_cop5612_computer_systems_essentials_katkoori to the courses menu.,https://usflearn.instructure.com/courses/1745818,TA,,YesThis course has been published.,Default Term
Click to add Defenses to the courses menu.,https://usflearn.instructure.com/courses/1496452,Teacher,,YesThis course has been published.,Default Term
Click to remove Research and Training from the courses menu.,https://usflearn.instructure.com/courses/1948490,Student,,YesThis course has been published.,Default Term
"Click to add Graduate Students, College of Engineering to the courses menu.",https://usflearn.instructure.com/courses/922199,Student,,YesThis course has been published.,Orgs
Click to remove NSF SFS CREST Program from the courses menu.,https://usflearn.instructure.com/courses/1943556,TA,,YesThis course has been published.,Default Term
Click to add Plaigiarism Check to the courses menu.,https://usflearn.instructure.com/courses/1203342,Student,,YesThis course has been published.,Default Term
Click to add ORG00980 : USF Graduate School to the courses menu.,https://usflearn.instructure.com/courses/931822,Student,,YesThis course has been published.,Orgs
Click to add ORG00994 : Graduate Doctoral Candidates to the courses menu.,https://usflearn.instructure.com/courses/931986,Student,,YesThis course has been published.,Orgs
Click to add ORG03879 : Graduate Assistants to the courses menu.,https://usflearn.instructure.com/courses/1563718,Student,,YesThis course has been published.,Orgs
Click to remove ORG00995 : Graduate Thesis/Dissertation Students from the courses menu.,https://usflearn.instructure.com/courses/931906,Student,,YesThis course has been published.,Orgs
Click to remove Hurricane Awareness from the courses menu.,https://usflearn.instructure.com/courses/1874164,Student,,YesThis course has been published.,Default Term
Click to add SG: Workshops and Trainings to the courses menu.,https://usflearn.instructure.com/courses/1584734,Student,,YesThis course has been published.,Default Term
Click to add USF CSE Virtual Frontdesk to the courses menu.,https://usflearn.instructure.com/courses/1496358,Student,,YesThis course has been published.,Default Term
ORG01190 : CSE Active Students cannot be added to the courses menu unless the course is active.,ORG01190 : CSE Active Students,Student,,NoThis course has not been published. Students should contact the course instructor for access.,Orgs
Course,,Student,,,